; Some pipe(|) separated metadata about the audio chapters included in the corpus.
;
; The meaning of the fields in left-to-right order is as follows:
;
; chapter_id: the ID of the chapter in the LibriVox's database
; reader_id: the ID of the reader in the LibriVox's database
; duration: how many minutes of this chapter are used in the corpus
; subset: the corpus subset to which this chapter is assigned
; project_id: the LibriVox project ID
; book_id: the Project Gutenberg's ID for the book on which the LibriVox project is based
; chapter_title: the title of the chapter on LibriVox
; project_title: the title of the LibriVox project
;
;ID    |READER|MINUTES| SUBSET           | PROJ.|BOOK ID| CH. TITLE | PROJECT TITLE
1      | 110  | 19.77 | train-other-500  | 53   | 1023  | In Chancery | Bleak House
2      | 110  | 10.30 | train-other-500  | 53   | 1023  | In Fashion | Bleak House
159    | 4174 | 7.67  | train-other-500  | 68   | 2184  | Letter XXV | Unbeaten Tracks in Japan
198    | 19   | 8.42  | train-clean-100  | 219  | 121   | Chapter 01 | Northanger Abbey
199    | 98   | 11.68 | train-clean-360  | 219  | 121   | Chapter 02 | Northanger Abbey
200    | 173  | 11.25 | train-other-500  | 219  | 121   | Chapter 03 | Northanger Abbey
201    | 44   | 7.57  | train-other-500  | 219  | 121   | Chapter 04 | Northanger Abbey
204    | 92   | 12.76 | train-other-500  | 219  | 121   | Chapter 07 | Northanger Abbey
205    | 20   | 12.82 | train-other-500  | 219  | 121   | Chapter 08 | Northanger Abbey
207    | 44   | 18.33 | train-other-500  | 219  | 121   | Chapter 10 | Northanger Abbey
208    | 14   | 12.95 | train-clean-360  | 219  | 121   | Chapter 11 | Northanger Abbey
209    | 198  | 8.20  | train-clean-100  | 219  | 121   | Chapter 12 | Northanger Abbey
212    | 14   | 12.09 | train-clean-360  | 219  | 121   | Chapter 15 | Northanger Abbey
214    | 37   | 6.19  | train-other-500  | 219  | 121   | Chapter 17 | Northanger Abbey
215    | 37   | 8.28  | train-other-500  | 219  | 121   | Chapter 18 | Northanger Abbey
216    | 403  | 6.30  | train-clean-100  | 219  | 121   | Chapter 19 | Northanger Abbey
218    | 89   | 12.78 | train-clean-100  | 219  | 121   | Chapter 21 | Northanger Abbey
219    | 89   | 12.30 | train-clean-100  | 219  | 121   | Chapter 22 | Northanger Abbey
222    | 40   | 15.59 | train-clean-100  | 219  | 121   | Chapter 25 | Northanger Abbey
224    | 246  | 7.56  | train-clean-360  | 219  | 121   | Chapter 27 | Northanger Abbey
225    | 37   | 15.58 | train-other-500  | 219  | 121   | Chapter 28 | Northanger Abbey
227    | 19   | 16.77 | train-clean-100  | 219  | 121   | Chapter 30 | Northanger Abbey
348    | 728  | 30.21 | train-other-500  | 381  | 84    | 00 - Letters | Frankenstein, or The Modern Prometheus
352    | 166  | 10.65 | train-clean-360  | 381  | 84    | 04 - Chapter 5 | Frankenstein, or The Modern Prometheus
354    | 66   | 13.84 | train-other-500  | 381  | 84    | 06 - Chapter 7 | Frankenstein, or The Modern Prometheus
355    | 66   | 16.38 | train-other-500  | 381  | 84    | 07 - Chapter 8 | Frankenstein, or The Modern Prometheus
