# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Thu Mar 11 10:38:49 UTC 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (28,31.0,55) frames.
At utterance end, SIL accounts for 99.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,25.4,49) frames.
Overall, nonsilence accounts for 94.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,17) frames.
Overall, SIL accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,36.1,99) frames.
Overall, N_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,10) frames.
Overall, AH0_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,7) frames.
Overall, D_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,11) frames.
Overall, T_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, EH1_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, N_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,17) frames.
Overall, HH_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,12) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,20) frames.
Overall, T_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,13) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, W_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,16) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, AH0_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,7) frames.
Overall, AE1_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,20) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,19) frames.
Overall, AH0_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
Overall, IY0_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,21) frames.
Overall, T_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,16) frames.
Overall, AH1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, ER0_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,21) frames.
Overall, AE1_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,18) frames.
Overall, M_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, S_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.7,28) frames.
Overall, EY1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
Overall, V_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, K_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, F_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,17) frames.
Overall, K_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,17) frames.
Overall, IH0_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,12) frames.
Overall, L_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,23) frames.
Overall, AA1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,19) frames.
Overall, M_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,11) frames.
Overall, IY1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,22) frames.
Overall, P_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,20) frames.
Overall, IY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,21) frames.
Overall, AY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.7,25) frames.
Overall, R_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,20) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,9) frames.
Overall, M_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,18) frames.
Overall, ER0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,16) frames.
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,12) frames.
Overall, UW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,21) frames.
Overall, NG_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,17) frames.
Overall, P_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,17) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, R_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,14) frames.
Overall, AH0_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,20) frames.
Overall, K_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,18) frames.
The optional-silence phone SIL occupies 20.7% of frames overall 
