!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
ABEBA	a b eː b ɑ 
ABONNENTENE	a b ɔ n n ɛ n t ɛ n a 
ABONNERE	a b ɔ n n eː r a 
ABRAHAMSEN	ɑ b r a h ɑ m s ə n 
ABSOLUTT	ɑ b s uː l ʉ tː 
ABSOLUTTE	ɑ b s uː l ʉ tː a 
ABSTRAKSJONEN	ɑ b s t r ɑ k ʃ uː n ə n 
ABSURD	ɑ b s ʉ r 
AC	a k 
ADDIS	ɑ dː iː s 
ADELEN	a d eː l ə n 
ADELIG	a d eː l ɪ 
ADFERD	ɑ d f a r 
ADGANG	ɑ d ɡ ɑ ŋ 
ADGANGEN	ɑ d ɡ ɑ ŋ ə n 
ADMINISTRASJON	ɑ d m iː n ɪ s t r ɑ ʃ uː n 
ADMINISTRASJONEN	ɑ d m iː n ɪ s t r ɑ ʃ uː n ə n 
ADMINISTRATIVE	ɑ d m iː n ɪ s t r a t iː v a 
ADMINISTRATOR	ɑ d m iː n ɪ s t r a t uː r 
ADMINISTRERER	ɑ d m iː n ɪ s t r eː r ə r 
ADOLFSEN	a d ɔ l f s ə n 
ADOPTIVBARNA	a d ɔ p t ɪ v b ɑ r n ɑ 
ADRESSE	ɑ d r ɛ s s a 
ADRESSEBOK	ɑ d r ə s s eː b uː k 
ADRESSEN	ɑ d r ɛ s s ə n 
ADRESSERES	ɑ d r ə s s eː r ə s 
ADRIAN	ɑ d r iː a n 
ADSKILLIG	ɑ d ʃ ɪ l l ɪ 
ADSKILT	ɑ d ʃ ɪ l t 
ADVARER	ɑ d v a r ə r 
ADVARES	ɑ d v a r ə s 
ADVARSLENE	ɑ d v ɑ r ʃ l ɛ n a 
ADVARSLER	ɑ d v ɑ r ʃ l ə r 
ADVART	ɑ d v ɑ r t 
ADVARTE	ɑ d v ɑ r t a 
ADVENT	ɑ d v ɛ n t 
ADVOKAT	ɑ d v uː k a t 
ADVOKATBISTAND	ɑ d v uː k ɑ t b ɪ s t ɑ n n 
ADVOKATEN	ɑ d v uː k a t ə n 
ADVOKATENS	ɑ d v uː k a t ə n s 
ADVOKATER	ɑ d v uː k a t ə r 
ADVOKATUTGIFTER	ɑ d v uː k a t ʉ t j ɪ f t ə r 
AFFÆRE	ɑ f f aː r a 
AFTEN	ɑ f t ə n 
AFTENPOSTEN	ɑ f t ə n p ʊ s t ə n 
AGDENES	ɑ ɡ d eː n ə s 
AGENDA	a ɡ ə n n ɑ 
AGENT	a ɡ ɛ n t 
AGENTER	a ɡ ɛ n t ə r 
AGGRESJONSUTBRUDD	ɑ ɡː r ə ʃ ɔ n s ʉ t b r ʉ dː 
AGGRESSIVE	ɑ ɡː r ə s s iː v a 
AGGRESSIVT	ɑ ɡː r ə s s ɪ v t 
AGNAR	ɑ ŋ n a r 
AKADEMISK	a k a d eː m ɪ s k 
AKADEMISKE	a k a d eː m ɪ s k a 
AKK	ɑ kː 
AKKORDER	ɑ kː ɔ r d ə r 
AKKURAT	ɑ kː ʉː r a t 
AKSDAL	ɑ k s d a l 
AKSENT	ɑ k s ɛ n t 
AKSEPT	ɑ k s ɛ p t 
AKSEPTABLE	ɑ k s ə p t ɑ b l a 
AKSEPTERE	ɑ k s ə p t eː r a 
AKSEPTERER	ɑ k s ə p t eː r ə r 
AKSEPTERES	ɑ k s ə p t eː r ə s 
AKSEPTERT	ɑ k s ə p t a r t 
AKSEPTERTE	ɑ k s ə p t a r t a 
AKSJEKURSEN	ɑ k ʃ eː k ʉ r ʃ ə n 
AKSJEKURSENE	ɑ k ʃ eː k ʉ r ʃ ɛ n a 
AKSJELEILIGHETER	ɑ k ʃ eː l aɪ l ɪ ɡ h eː t ə r 
AKSJEMARKEDET	ɑ k ʃ eː m ɑ r k eː d a 
AKSJER	ɑ k ʃ ə r 
AKSJESELSKAPER	ɑ k ʃ eː s ɛ l s k a p ə r 
AKSJONEN	ɑ k ʃ uː n ə n 
AKSJONENPUNKTUM	ɑ k ʃ uː n ɛ n p ʉ ŋ k t ʉː m 
AKSJONENS	ɑ k ʃ uː n ə n s 
AKSJONER	ɑ k ʃ uː n ə r 
AKSJONÆR	ɑ k ʃ uː n aː r 
AKSJONÆRENE	ɑ k ʃ uː n aː r ɛ n a 
AKT	ɑ k t 
AKTER	ɑ k t ə r 
AKTIV	ɑ k t iː v 
AKTIVE	ɑ k t iː v a 
AKTIVERE	ɑ k t iː v eː r a 
AKTIVITENE	ɑ k t iː v iː t ɛ n a 
AKTIVITET	ɑ k t iː v iː t ə t 
AKTIVITETEN	ɑ k t iː v iː t eː t ə n 
AKTIVITETENE	ɑ k t iː v iː t eː t ɛ n a 
AKTIVITETER	ɑ k t iː v iː t eː t ə r 
AKTIVITETSTILBUD	ɑ k t iː v iː t ə t s t ɪ l b ʉː d 
AKTIVT	ɑ k t ɪ v t 
AKTUELL	ɑ k t ʉː ɛ l 
AKTUELLE	ɑ k t ʉː ɛ l l a 
AKTUELT	ɑ k t ʉː ɛ l t 
AKTØRENE	ɑ k t øː r ɛ n a 
AKTØRGRUPPER	ɑ k t œ r ɡ r ʉ pː ə r 
AKUSTIKK	a k ʉ s t ɪ kː 
AKUTT	a k ʉ tː 
AKVARIEFISK	ɑ k v a r iː eː f ɪ s k 
ALARMSENTRALEN	a l ɑ r m s ɛ n t r a l ə n 
ALBERT	ɑ l b a r t 
ALBUENE	ɑ l b ʉː ɛ n a 
ALDER	ɑ l l ə r 
ALDEREN	ɑ l l eː r ə n 
ALDERSGRENSE	ɑ l l a r ʃ ɡ r ɛ n s a 
ALDERSGRUPPEN	ɑ l l a r ʃ ɡ r ʉ pː ə n 
ALDERSGRUPPER	ɑ l l a r ʃ ɡ r ʉ pː ə r 
ALDERSHJEM	ɑ l l a r ʃ j ə m 
ALDERSPENSJON	ɑ l l a r ʃ p ɛ n ʃ uː n 
ALDERSSAMMENSETNINGEN	ɑ l l a r ʃ s ɑ m m ə n s ɛ t n ɪ ŋ ə n 
ALDRE	ɑ l l r a 
ALDRI	ɑ l l r iː 
ALDRING	ɑ l l r ɪ ŋ 
ALEKSANDER	a l ə k s ɑ n n ə r 
ALEN	a l ə n 
ALENE	a l ɛ n a 
ALENEPUNKTUM	a l eː n eː p ʉ ŋ k t ʉː m 
ALEXANDER	a l eː k s ɑ n n ə r 
ALFABET	ɑ l f a b ə t 
ALFABETISK	ɑ l f a b eː t ɪ s k 
ALFRED	ɑ l f r ə d 
ALGENE	ɑ l ɡ ɛ n a 
ALGER	ɑ l ɡ ə r 
ALICE	a l iː k a 
ALKOHOL	ɑ l k uː h uː l 
ALKOHOLBRUK	ɑ l k uː h ɔ l b r ʉː k 
ALKOHOLINNTAK	ɑ l k uː h uː l ɪ n t a k 
ALL	ɑ l 
ALLE	ɑ l l a 
ALLER	ɑ l l ə r 
ALLEREDE	ɑ l l eː r eː d a 
ALLERGI	ɑ l l a r j iː 
ALLERGISK	ɑ l l a r j ɪ s k 
ALLERGISKE	ɑ l l a r j ɪ s k a 
ALLES	ɑ l l ə s 
ALLIANSER	ɑ l l iː ɑ n s ə r 
ALLIKEVEL	ɑ l l iː k eː v ə l 
ALLMENNFAG	ɑ l m ə n f a ɡ 
ALLMENNGYLDIG	ɑ l m ə n j y l l ɪ 
ALLMENNHETEN	ɑ l m ə n h eː t ə n 
ALLMENNMEDISIN	ɑ l m ə n m eː d iː s iː n 
ALLMUEN	ɑ l m ʉː ə n 
ALLMUENS	ɑ l m ʉː ə n s 
ALLSIDIG	ɑ l s iː d ɪ 
ALLSIDIGHET	ɑ l s iː d ɪ ɡ h ə t 
ALLTID	ɑ l t iː d 
ALLVERDENS	ɑ l v a r d ə n s 
ALMENFAG	ɑ l m ə n f a ɡ 
ALMENNINGENS	ɑ l m ə n n ɪ ŋ ə n s 
ALMENNMENNESKELIG	ɑ l m ə n m ɛ n n ə s k eː l ɪ 
ALMINNELIGE	ɑ l m ɪ n n eː l iː ɡ a 
ALSTAD	ɑ l s t a d 
ALT	ɑ l t 
ALTERNATIV	ɑ l t a r n a t iː v 
ALTERNATIVE	ɑ l t a r n a t iː v a 
ALTERNATIVER	ɑ l t a r n a t iː v ə r 
ALTERNATIVET	ɑ l t a r n a t iː v ə t 
ALTERNATIVT	ɑ l t a r n a t ɪ v t 
ALTFOR	ɑ l t f uː r 
ALTSÅ	ɑ l t s oː 
ALVESTAD	ɑ l v ə s t a d 
ALVHILD	ɑ l v h ɪ l l 
ALVOR	ɑ l v uː r 
ALVORLIG	ɑ l v ɔ r l ɪ 
ALVORLIGE	ɑ l v ɔ r l iː ɡ a 
ALVORLIGSTE	ɑ l v ɔ r l ɪ ɡ s t a 
AM	a m 
AMANDA	a m ɑ n n ɑ 
AMATØRENE	a m a t øː r ɛ n a 
AMBASSADE	ɑ m b ɑ s s a d a 
AMBASSADØR	ɑ m b ɑ s s a d øː r 
AMBISIØSE	ɑ m b iː s iː øː s a 
AMBISJONENE	ɑ m b ɪ ʃ uː n ɛ n a 
AMBISJONER	ɑ m b ɪ ʃ uː n ə r 
AMBOLTEN	ɑ m b ɔ l t ə n 
AMERIKANERE	a m eː r iː k a n eː r a 
AMERIKANERNE	a m eː r iː k a n a r n a 
AMERIKANSK	a m eː r iː k ɑ n s k 
AMERIKANSKE	a m eː r iː k ɑ n s k a 
AMFIBIENE	ɑ m f iː b iː ɛ n a 
AMMET	ɑ m m ə t 
AMPRE	ɑ m p r a 
AMTMANN	ɑ m t m ɑ n 
AMUNDSEN	a m ʉ n n s ə n 
AN	a n 
ANALAYTISK	a n a l ɑː yː t ɪ s k 
ANALOGE	a n a l uː ɡ a 
ANALYSE	a n a l yː s a 
ANALYSEN	a n a l yː s ə n 
ANALYSER	a n a l yː s ə r 
ANALYSERE	a n a l yː s eː r a 
ANALYSERER	a n a l yː s eː r ə r 
ANBEFALER	ɑ n b eː f a l ə r 
ANBUD	ɑ n b ʉː d 
ANBUDSRUNDEN	ɑ n b ʉ d s r ʉ n n ə n 
ANDEL	ɑ n n ə l 
ANDERS	ɑ n n a ʃ 
ANDERSSON	ɑ n n a r ʃ s uː n 
ANDRE	ɑ n n r a 
ANDREA	ɑ n n r eː ɑ 
ANDREAS	ɑ n n r eː a s 
ANDREASSEN	ɑ n n r eː ɑ s s ə n 
ANDRES	ɑ n n r ə s 
ANDRESEN	ɑ n n r eː s ə n 
ANE	a n a 
ANELSE	a n ɛ l s a 
ANELSER	a n ɛ l s ə r 
ANERKJENNELSE	a n a r x ɛ n n ɛ l s a 
ANERKJENNENDE	a n a r x ɛ n n ɛ n n a 
ANETTE	a n ɛ tː a 
ANFALL	ɑ n f ɑ l 
ANGIR	ɑ ŋ iː r 
ANGREP	ɑ ŋ r ə p 
ANGREPENE	ɑ ŋ r eː p ɛ n a 
ANGREPET	ɑ ŋ r eː p ə t 
ANGREPSVÅPEN	ɑ ŋ r ə p s v oː p ə n 
ANGRER	ɑ ŋ r ə r 
ANGRET	ɑ ŋ r ə t 
ANGRIPE	ɑ ŋ r iː p a 
ANGRIPEPUNKTUM	ɑ ŋ r iː p eː p ʉ ŋ k t ʉː m 
ANGRIPER	ɑ ŋ r iː p ə r 
ANGRIPES	ɑ ŋ r iː p ə s 
ANGST	ɑ ŋ s t 
ANGSTEN	ɑ ŋ s t ə n 
ANGÅENDE	ɑ ŋ oː a n n a 
ANGÅR	ɑ ŋ oː r 
ANIMASJON	a n iː m ɑ ʃ uː n 
ANKARA	ɑ ŋ k a r ɑ 
ANKER	ɑ ŋ k ə r 
ANKLAGER	ɑ ŋ k l a ɡ ə r 
ANKLAGET	ɑ ŋ k l a ɡ ə t 
ANKOM	ɑ ŋ k uː m 
ANLAGT	ɑ n l ɑ ɡ t 
ANLEDNING	ɑ n l ə d n ɪ ŋ 
ANLEDNINGEN	ɑ n l ə d n ɪ ŋ ə n 
ANLEDNINGER	ɑ n l ə d n ɪ ŋ ə r 
ANLEGG	ɑ n l ɛ ɡː 
ANLEGGSGARTNER	ɑ n l ə ɡː s ɡ ɑ r t n ə r 
ANLEGGSPERIODEN	ɑ n l ə ɡː s p eː r iː uː d ə n 
ANMELDELSENKOMMA	ɑ n m ə l l ɛ l s ə ŋ k ɔ m m ɑ 
ANMELDELSER	ɑ n m ə l l ɛ l s ə r 
ANMELDER	ɑ n m ɛ l l ə r 
ANMERKNING	ɑ n m a r k n ɪ ŋ 
ANMODNING	ɑ n m ɔ d n ɪ ŋ 
ANNBJØRG	ɑ n b j œ r ɡ 
ANNEN	ɑ n n ə n 
ANNENHVER	ɑ n n ɛ n v ə r 
ANNENHÅNDS	ɑ n n ə n h ɔ n n s 
ANNERLEDES	ɑ n n a r l eː d ə s 
ANNET	ɑ n n ə t 
ANNETTE	ɑ n n ɛ tː a 
ANNIKEN	ɑ n n iː k ə n 
ANNONSE	ɑ n n ɔ n s a 
