# gunzip -c exp/mono_ali_train/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Mon Jul 12 19:31:22 UTC 2021
#
At utterance begin, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (97,101.0,168) frames.
At utterance end, SIL accounts for 98.2% of phone occurrences, with duration (median, mean, 95-percentile) is (75,80.6,160) frames.
At utterance end, nonsilence accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.7,30) frames.
Overall, nonsilence accounts for 93.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,18) frames.
Overall, SIL accounts for 6.8% of phone occurrences, with duration (median, mean, 95-percentile) is (70,72.4,154) frames.
Overall, r_I accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,13) frames.
Overall, n_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, ə_I accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, a_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,20) frames.
Overall, l_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, t_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, r_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,19) frames.
Overall, s_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,16) frames.
Overall, ɛ_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,14) frames.
Overall, n_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,22) frames.
Overall, a_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,19) frames.
Overall, eː_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,17) frames.
Overall, iː_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,20) frames.
Overall, ɪ_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
Overall, s_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,19) frames.
Overall, k_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, ɑ_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,16) frames.
Overall, t_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,24) frames.
Overall, f_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,17) frames.
Overall, ɔ_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,15) frames.
Overall, t_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,15) frames.
Overall, d_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
Overall, m_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,12) frames.
Overall, uː_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,18) frames.
Overall, h_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,11) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, ɡ_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,12) frames.
Overall, d_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, uː_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,19) frames.
Overall, m_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, ʉ_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,13) frames.
