# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Mon Jul 12 19:39:13 UTC 2021
#
At utterance begin, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (98,101.8,170) frames.
At utterance end, SIL accounts for 98.2% of phone occurrences, with duration (median, mean, 95-percentile) is (73,78.9,156) frames.
At utterance end, nonsilence accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.3,31) frames.
Overall, nonsilence accounts for 93.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,18) frames.
Overall, SIL accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (66,68.4,153) frames.
Overall, r_I accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, n_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, ə_I accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,13) frames.
Overall, a_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,20) frames.
Overall, l_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, t_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, r_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,19) frames.
Overall, s_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,16) frames.
Overall, ɛ_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
Overall, n_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,20) frames.
Overall, a_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,17) frames.
Overall, eː_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,16) frames.
Overall, iː_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,18) frames.
Overall, s_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,19) frames.
Overall, ɪ_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
Overall, k_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, ɑ_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, t_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,24) frames.
Overall, f_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,22) frames.
Overall, ɔ_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,14) frames.
Overall, d_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,12) frames.
Overall, t_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,14) frames.
Overall, uː_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,18) frames.
Overall, m_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, h_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.1,18) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, ɡ_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.9,13) frames.
Overall, uː_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
Overall, d_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, m_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,13) frames.
Overall, ʉ_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
Overall, v_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,13) frames.
Overall, b_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,13) frames.
Overall, m_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,22) frames.
Overall, tː_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,24) frames.
Overall, eː_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.2,33) frames.
Overall, ŋ_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,15) frames.
Overall, ʉː_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,19) frames.
Overall, ɡ_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, s_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.1,30) frames.
Overall, l_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,20) frames.
Overall, k_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, p_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, f_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,12) frames.
Overall, oː_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,27) frames.
Overall, ɛ_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,21) frames.
Overall, iː_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,24) frames.
