# gunzip -c exp/tri3b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Mon Jul 12 20:03:52 UTC 2021
#
At utterance begin, SIL accounts for 99.4% of phone occurrences, with duration (median, mean, 95-percentile) is (97,100.3,170) frames.
At utterance begin, nonsilence accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (56,52.5,106) frames.
At utterance end, SIL accounts for 96.7% of phone occurrences, with duration (median, mean, 95-percentile) is (71,77.0,154) frames.
At utterance end, nonsilence accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.6,42) frames.
At utterance end, n_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.7,42) frames.
Overall, nonsilence accounts for 93.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, SIL accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (65,66.9,152) frames.
Overall, r_I accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, n_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,12) frames.
Overall, ə_I accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,13) frames.
Overall, a_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,21) frames.
Overall, l_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, t_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,13) frames.
Overall, r_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,21) frames.
Overall, s_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, ɛ_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, n_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,22) frames.
Overall, a_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, eː_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
Overall, iː_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,17) frames.
Overall, s_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,19) frames.
Overall, ɪ_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, k_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, ɑ_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, t_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,26) frames.
Overall, f_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.9,29) frames.
Overall, ɔ_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
